Slice Number,5M9RRKD5,5M9RVIGK,5M9RZGJZ,5M9S0FLO,5M9S2END,5M9S4DP2,5M9S6CQS,5M9S8BSH,5M9SC9VW,5M9SE8XL,5PCP_6R0,5PCPMDF3,5PCPOCGT,5PCPQBII,5PCPSAK7,5PCPU9LX,5PCPY7PB,5PCQ15SQ,5PCQ53W4,5PCQ91ZJ,5PCQB108,5PCQD01Y,5PCQE_3N,5PCQGZ5C,5PCQIY71,5PCQKX8R,5PCQOVC5,5PCQQUDV,5PCQUSH9,5PCQWRIZ,5PCQYQKO
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,NA,,,
240,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,NA,,,
239,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,NA,,,
238,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,NA,,,
237,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,NA,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
228,,,,,,,,,,,,,,,,,,,,X,,,,,,,,NA,,,
227,,,,,,,,,,,,,,,,,,,,X,,,,,,,,NA,,,
226,,,,,,,,,,,,,,,,,,,,X,,,,,,,,NA,,,
225,,,,,,,,,,,,,,,,,,,,X,,,,,,,,NA,,,
224,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
159,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
158,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
157,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
156,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
155,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
154,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
153,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
152,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
151,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
150,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
149,,,,,,,,NA,,,,,,,,,,,,X,,,,,,,,X,,,NA
148,,,,,,,,NA,,,,,,,,,,,,X,,,,,,,,X,,,NA
147,,,,,,,,NA,,,,,,,,,,,,X,,,,,,,,X,,,NA
146,,,,,,,,NA,,,,,,,,,,,,X,,,,,,,,X,,,NA
145,,,,,,,,NA,,,,,,,,,,,,X,,,,,,,,X,,,NA
144,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
143,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
142,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
141,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
140,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
139,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,NA,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,NA,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,NA,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
119,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,X,X,X,
118,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,X,X,X,
117,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,X,X,X,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
109,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
108,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
107,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
106,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
105,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
104,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
103,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
102,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
101,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
100,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
99,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
98,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
97,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
96,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,X,
95,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,
94,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,
93,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,
92,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,
91,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,
90,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,
89,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,
88,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,
87,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,X,X,X,X
86,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
85,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
84,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
83,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
82,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
81,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
80,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
79,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
78,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
77,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
76,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
75,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
74,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X
73,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,,X,X,X
72,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,,X,X,X
71,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,,X,X,X
70,,NA,,,X,,,X,,NA,,,X,,,,,,,,,,,NA,,,,,X,X,X
69,,NA,,,X,,,X,,NA,,,X,,,,,,,,,,,NA,,,,,X,X,X
68,,NA,,,X,,,X,,NA,,,X,,,,,,,,,,,NA,,,,,X,X,X
67,,NA,,,X,,,X,,NA,,,X,NA,,,,,,,,,,NA,,,,,X,X,X
66,,NA,,,X,,,X,,X,,,X,NA,,,,,,,,,,X,,,,,X,X,X
65,,,,,X,,NA,X,,X,,NA,X,NA,,,,,,,,,,X,,,NA,,X,X,X
64,,,,,X,,NA,X,,X,,NA,X,,,,,,,,,,,X,,,NA,,X,X,X
63,,X,,,X,,NA,X,,X,,NA,X,,,,,,,,,,,X,NA,,NA,,X,X,X
62,,X,,,X,,NA,X,,X,,NA,X,,,,NA,,,,,,,X,NA,,NA,,X,X,X
61,,X,,,X,,NA,X,,X,,NA,X,,NA,,NA,,NA,,,,,X,NA,,,,X,X,X
60,,X,,,X,NA,,X,,X,,NA,X,X,NA,,NA,,NA,,,,,X,NA,,,,X,X,X
59,,X,,,X,NA,,X,,X,,,X,X,NA,,NA,,NA,,,,,X,,,,,X,X,X
58,NA,X,,,X,NA,,X,,X,,,X,X,NA,,NA,NA,NA,,,,,X,,,,,X,X,X
57,NA,X,,,X,NA,X,X,,X,,,X,X,NA,,,NA,NA,,,,NA,X,,,,,X,X,X
56,NA,X,,,X,NA,X,X,,X,,,X,X,NA,,,NA,,,,,NA,X,,,,NA,X,X,X
55,NA,X,,NA,X,,X,X,,X,NA,,X,X,,,,NA,X,,,X,NA,X,,,,NA,X,X,X
54,,X,NA,NA,X,,X,X,,X,NA,,X,X,,,,NA,X,,,X,NA,X,X,,,NA,X,X,X
53,X,X,NA,NA,X,X,X,X,NA,X,NA,,X,X,,,,NA,X,,NA,,,X,X,,,NA,X,X,X
52,X,X,NA,NA,X,X,X,X,NA,X,,,X,X,,,,NA,X,,NA,,,X,X,NA,,NA,X,X,X
51,X,X,NA,NA,X,X,X,X,NA,X,,,X,X,,,,,X,,NA,,,X,X,NA,,NA,X,X,X
50,X,X,NA,,X,,X,X,NA,X,,,X,X,,,,X,X,,NA,,,X,X,NA,,NA,X,X,X
49,X,X,NA,X,X,X,X,X,,X,,,X,X,X,,,X,X,,NA,,,X,X,NA,,NA,X,X,X
48,X,X,,X,X,,X,X,,X,,,X,X,X,,,X,X,,,,,X,X,NA,,NA,X,X,X
47,X,X,,X,X,,X,X,,X,,,X,X,X,,X,X,X,,,,,X,X,NA,,NA,X,X,X
46,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,,X,X,,X,NA,X,X,X
45,X,X,,X,X,X,X,X,X,X,X,,X,X,X,NA,X,X,X,NA,,,,X,X,,X,NA,X,X,X
44,X,X,,X,X,X,X,X,X,X,X,,X,X,X,NA,X,X,X,NA,,,X,X,X,,X,NA,X,X,X
43,X,X,,X,X,X,X,X,X,X,X,,X,X,X,NA,X,X,X,NA,,,X,X,X,,X,NA,X,X,X
42,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,NA,,,X,X,X,,X,NA,X,X,X
41,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,NA,,,X,X,X,X,X,NA,X,X,X
40,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,NA,,,X,X,X,X,X,NA,X,X,X
39,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,NA,,,X,X,X,X,X,NA,,X,X
38,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,NA,,X,X,X,X,X,X,NA,,X,X
37,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,NA,X,X,X,X,X,X,X,NA,,X,X
36,X,,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,NA,X,X,X,X,X,X,X,NA,,X,X
35,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,NA,X,X,X,X,X,X,X,NA,,X,X
34,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,NA,X,X,X,X,X,X,X,NA,,X,X
33,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,,X,X
32,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,,X,X
31,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,,,X
30,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,,,X
29,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,,,X
28,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,,,X
27,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,NA,,X
26,X,,,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,NA,,X
25,X,X,,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,NA,NA,,X
24,X,X,,X,,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,NA,X,X,X,X,X,X,,NA,NA,,X
23,X,X,,X,,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,NA,X,X,X,X,X,X,,NA,NA,,X
22,X,X,,X,,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,NA,X,X,X,X,X,X,,NA,NA,,X
21,X,,,X,,X,X,X,X,X,X,X,NA,,X,X,X,X,X,NA,X,X,X,X,X,X,,NA,NA,,X
20,X,,,X,,X,X,X,X,X,X,X,NA,,X,X,X,X,X,NA,X,X,X,X,X,X,,NA,NA,,X
19,X,,,,NA,X,X,X,X,X,X,X,NA,NA,X,X,X,X,X,NA,X,X,X,X,X,X,,NA,NA,,X
18,X,,,,NA,X,,X,X,X,X,X,NA,NA,X,X,X,X,X,NA,X,X,X,X,X,X,,NA,NA,,X
17,X,X,,,NA,X,,X,X,X,X,X,NA,NA,X,X,X,X,X,NA,X,X,X,,X,X,,NA,NA,,X
16,X,,,,NA,X,,X,X,X,,X,NA,NA,X,X,X,X,X,NA,X,X,X,,X,X,,NA,NA,,X
15,X,,,,NA,X,,X,X,X,,X,NA,NA,X,X,X,X,X,NA,X,X,X,,,X,,NA,NA,,X
14,X,,,,NA,X,,X,X,,,,NA,NA,,X,X,X,X,NA,X,,X,,,X,,NA,NA,,X
13,,,,,NA,X,,X,X,NA,NA,,NA,NA,,X,X,X,X,NA,X,,X,,NA,X,NA,NA,NA,,X
12,,,,,NA,X,,X,X,NA,NA,,NA,NA,,X,X,X,X,NA,X,,X,NA,NA,X,NA,NA,NA,,X
11,,,,,NA,,,X,X,NA,NA,,NA,NA,,X,X,X,X,NA,X,,X,NA,NA,,NA,NA,NA,,X
10,,,,,NA,,,,X,NA,NA,,NA,NA,NA,X,,X,X,NA,X,,X,NA,NA,,NA,NA,NA,,
9,,,NA,,NA,,,,,NA,NA,,NA,NA,NA,X,NA,,X,NA,,,,NA,NA,,NA,NA,NA,,
8,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,X,NA,,,NA,,,,NA,NA,,NA,NA,NA,,
7,,NA,NA,NA,NA,NA,,,NA,NA,NA,,NA,NA,NA,X,NA,NA,,NA,,,,NA,NA,,NA,NA,NA,,
6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,
5,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,
4,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
3,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
2,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,